"","X","asin","title","Brand","Firm","variationCSV","suction","Wok_1charge","db","pa","minutes","mins","hour","hours","mah","min","h"
"559",652,"B085ZSGKYW","eufy boostiq robovac 15c max, robot vacuum cleaner<U+4E28>robovac replacement kit","15cmax","eufy","None",2000,100,NA,"2000;2000","100",NA,NA,NA,NA,"100","12"
"560",653,"B085ZT3DNK","eufy by anker, boostiq robovac 11s max, robotic vacuums<U+4E28>robovac replacement kit, vacuum parts & accessories","11smax","eufy","None",2000,100,NA,"2000",NA,NA,NA,NA,NA,NA,""
"561",654,"B085ZT58X4","eufy by anker, boostiq robovac 30c max, robot vacuum cleaner<U+4E28>robovac replacement kit","30cmax","eufy","None",2000,100,NA,"2000",NA,NA,NA,NA,NA,NA,""
"562",833,"B08JKGZC4Z","eufy by anker, robovac g30 edge, robot vacuum with smart dynamic navigation 2.0, 2000pa suction, wi-fi, boundary strips, for carpets and hard floors. (renewed)","g30","eufy","None",2000,100,NA,"2000;2000;2000;2000;2;0",NA,NA,NA,NA,NA,"","3;12;2;0;2;0"
"563",861,"B08L7K1SW8","eufy robovac g30, robot vacuum with smart dynamic navigation 2.0, robot vacuum cleaner<U+4E28>lumos smart bulb - white, soft white, 2-pack, led bulbs","g30","eufy","None",2000,100,NA,"2",NA,NA,NA,NA,NA,"","2;0"
"564",862,"B08L7K7QLS","eufy robovac g30 edge, robot vacuum with smart dynamic navigation 2.0, robot vacuum cleaner<U+4E28>lumos smart bulb - white, soft white, 2-pack, led bulbs","g30","eufy","None",2000,100,NA,"2",NA,NA,NA,NA,NA,"","2;0"
"565",970,"B08R7P6VDD","eufy robovac g30 edge, robot vacuum with smart dynamic navigation 2.0, robot vacuum cleaner<U+4E28>eufy by anker, smart switch, amazon alexa, and the google assistant compatible, wi-fi, control from everywhe","g30","eufy","None",2000,100,NA,"2000;2000",NA,NA,NA,NA,NA,"","2;0"
"566",971,"B08R7PHJSQ","eufy robovac g30, robot vacuum with smart dynamic navigation 2.0, robot vacuum cleaner<U+4E28>eufy by anker, smart switch, amazon alexa, and the google assistant compatible, wi-fi, control from everywhere, n","g30","eufy","None",2000,100,NA,"",NA,NA,NA,NA,NA,"","2;4;2;0"
"567",1146,"B09541WW28","eufy robovac g30 edge, robot vacuum with smart dynamic navigation 2.0, robot vacuum cleaner<U+4E28>eufy robovac extra boundary strip pack, compatible with 30c, 30c max, 30,g30 edge, g30 hybrid pet edition","g30","eufy","None",2000,100,NA,"2000;2000",NA,NA,NA,NA,NA,NA,"30;2;0;30"
"568",1147,"B09542VWN9","eufy robovac g30, robot vacuum with smart dynamic navigation 2.0, robot vacuum cleaner<U+4E28>eufy robovac replacement side brush, robovac 11s, 11s max, 30, 30c, 30c max,15c, 15c max, 12,g30 accessory","g30","eufy","None",2000,100,NA,"2000;2000",NA,NA,NA,NA,NA,NA,"2;0;30"
"569",1347,"B09JCB327H","eufy robovac g30, robot vacuum with smart dynamic navigation 2.0, robot vacuum cleaner<U+4E28>eufy by anker, homevac h30 mate, cordless handheld vacuum cleaner, 80 aw, 16kpa strong suction power, ultra-light","g30","eufy","None",2000,100,NA,"16;16;16",NA,NA,NA,NA,NA,"","30;2;0;2;0"
"570",134,"B0827BGG27","faxiang mini smart robot vacuum cleaner self navigated rechargeable smart robot vacuum cleaner home auto mopping mop sweeper multi-function robotic vacuums","B0827BGG27","Faxiang","B0827BGG27,B0827BJ9QG,B0827BP2NN,B0827B52PZ,B0827B9QMY",2000,90,"45;65;65;45","250;2000;2000;150;1800;45;400;12000;1800;400","90;180",NA,"8;2;5","8;2;5","1200;1200;3;7","90;180","7;3;65;1200;90;1200;8;2;5;1;1;3;1;3;7;180"
"571",1713,"B0827B52PZ","faxiang mini smart robot vacuum cleaner self navigated rechargeable smart robot vacuum cleaner home auto mopping mop sweeper multi-function robotic vacuums","B0827BGG27","Faxiang","B0827BGG27,B0827BJ9QG,B0827BP2NN,B0827B52PZ,B0827B9QMY",2000,90,"45;65;65;45","250;2000;2000;150;1800;45;400;12000;1800;400","90;180",NA,"8;2;5","8;2;5","1200;1200;3;7","90;180","7;3;65;1200;90;1200;8;2;5;1;1;3;1;3;7;180"
"572",2467,"B0827BJ9QG","faxiang mini smart robot vacuum cleaner self navigated rechargeable smart robot vacuum cleaner home auto mopping mop sweeper multi-function robotic vacuums","B0827BGG27","Faxiang","B0827BGG27,B0827BJ9QG,B0827BP2NN,B0827B52PZ,B0827B9QMY",2000,90,"45;65;65;45","250;2000;2000;150;1800;45;400;12000;1800;400","90;180",NA,"8;2;5","8;2;5","1200;1200;3;7","90;180","7;3;65;1200;90;1200;8;2;5;1;1;3;1;3;7;180"
"573",2468,"B0827BP2NN","faxiang mini smart robot vacuum cleaner self navigated rechargeable smart robot vacuum cleaner home auto mopping mop sweeper multi-function robotic vacuums","B0827BGG27","Faxiang","B0827BGG27,B0827BJ9QG,B0827BP2NN,B0827B52PZ,B0827B9QMY",2000,90,"45;65;65;45","250;2000;2000;150;1800;45;400;12000;1800;400","90;180",NA,"8;2;5","8;2;5","1200;1200;3;7","90;180","7;3;65;1200;90;1200;8;2;5;1;1;3;1;3;7;180"
"574",2469,"B0827B9QMY","faxiang mini smart robot vacuum cleaner self navigated rechargeable smart robot vacuum cleaner home auto mopping mop sweeper multi-function robotic vacuums","B0827BGG27","Faxiang","B0827BGG27,B0827BJ9QG,B0827BP2NN,B0827B52PZ,B0827B9QMY",2000,90,"45;65;65;45","250;2000;2000;150;1800;45;400;12000;1800;400","90;180",NA,"8;2;5","8;2;5","1200;1200;3;7","90;180","7;3;65;1200;90;1200;8;2;5;1;1;3;1;3;7;180"
"575",611,"B09ZHFB6F6","robot vacuum and mop cleaner, robot vacuum cleaner sweep and mop 2-in-1, 40db low noise, 90min runtime, smart mapping","B09ZHFB6F6","FITORON","B0B1PV8L6V,B09ZHPSZQP,B09ZHQ773T,B0B1PV4HBW,B09ZHPDCNM,B09ZHK934N,B09ZHT13DL,B09ZHFB6F6",2000,90,"40;40;2;1;4","2000;3;7;2;27;8;27;8;6;3;10;9;10;9;2;4","90;90;400",NA,"3","3","2000;2000;3;7","90;90;90;400","2000;3;2000;90;0;718;0;768;1;2;4;1;3;7;3;7;2000;400;3;1;7;2"
"576",612,"B09ZHPSZQP","fitoron robot vacuum and mop cleaner, robot vacuum cleaner sweep and mop 2-in-1, 2000kpa strong suction, 80min runtime, smart mapping","B09ZHPSZQP","FITORON","B0B1PV8L6V,B09ZHPSZQP,B09ZHQ773T,B0B1PV4HBW,B09ZHPDCNM,B09ZHK934N,B09ZHT13DL,B09ZHFB6F6",2000,60,"55;4","2000;2000;3;7;2;25;25;7;9;8;9;8;2;7;2;1","60;80;600",NA,"2","2","1500;1500;3;7","80;60;80;600","1500;1500;60;0;53;0;58;1;1;2;7;3;7;3;7;1500;600;2;1;28;2;1"
"577",266,"B08LSCT257","gravo self navigated rechargeable automatic smart robot vacuum cleaner mop auto sweeper family cleaning robotic","B08LSCT257","Gravo","None",2000,90,"45;65;55;6","2000;7;23;23;5","90",NA,"8;5","8;5",NA,"90","3;11;8;55;5"
"578",608,"B09ZGWTR7D","hadst robot vacuum cleaner quiet ideal for pet care, hard floor and low pile carpet household cleaning machine fully automatic mopping machine room vacuum cleaner (black)","B09ZGWTR7D","HADST","B09ZGWTR7D,B09ZH6NLC4",2000,80,"55","2000;3;7;2;25;25;7;9;8;9;8;2;7;1;28","60;80",NA,"2","2","1500;1500;3;7","60;80","1500;1500;0;53;0;58;2;7;3;7;1500;60;2;2;1"
"579",2986,"B09ZH6NLC4","hadst robot vacuum cleaner quiet ideal for pet care, hard floor and low pile carpet household cleaning machine fully automatic mopping machine room vacuum cleaner (dark blue)","B09ZGWTR7D","HADST","B09ZGWTR7D,B09ZH6NLC4",2000,80,"55","2000;3;7;2;25;25;7;9;8;9;8;2;7;1;28","60;80",NA,"2","2","1500;1500;3;7","60;80","1500;1500;0;53;0;58;2;7;3;7;1500;60;2;2;1"
"580",560,"B09PHGY55D","hcy vacuum cleaner, robotic vacuums 2000pa dirt devil vacuum cleaner self-recharging carpet","B09PHGY55D","HCY","B09Q5ZSB7N,B09Q61GRP1,B09Q5YTQND,B09Q61HFVP",2000,150,NA,"2000;2000;2000;2000","150","100",NA,NA,"3200;3200","150;100","3200;2;85;3200"
"581",228,"B08DK2V4SQ","robot vacuum cleaner, honiture q5 2-in-1 robot vacuum and mop combo, 2000pa, 100mins runtime, app&voice control, self-charging robotic vacuum cleaner, quiet, super thin, ideal for pets and carpets","B08DK2V4SQ","HONITURE","None",2000,100,NA,"2000;2000","100","100;2000",NA,NA,"2600","100;2000;100","2600"
"582",257,"B08KHPQK4S","ihome autovac eclipse, robot vacuum cleaner, self charging vacuum robot, mopping function, 2,000 pa suction , app control, mapping technology, set schedules, ideal for pet hair, carpets & hard floors","B08KHPQK4S","iHome","B08KHPQK4S,B09PC54J4Y,B08KHD15B2,B08KHPTXD5",2000,120,NA,"2000;000","",NA,NA,NA,NA,"120","20"
"583",2119,"B08KHD15B2","ihome autovac eclipse, robot vacuum and mop combo- robotic vacuum cleaner, robot mop enabled, wi-fi connected mapping technology, automatic self charging, ideal for pet hair, carpets & hard floors","B08KHPQK4S","iHome","B08KHPQK4S,B09PC54J4Y,B08KHD15B2,B08KHPTXD5",2000,120,NA,"2000","",NA,NA,NA,NA,"","20"
"584",375,"B092J8SNQ6","robot vacuum and mop combo 2 in 1 wifi-connected robot vacuum cleaner, 2000pa suction, self-charging robot vacuum cleaner,ideal for pet hair, carpets, compatible with alexa","B092J8SNQ6","iHomy","None",2000,90,NA,"2000;2000;2000;2000",NA,NA,NA,NA,"2600","70;90","2600;1937;1292"
"585",464,"B09CGTRC3G","ihomy robot vacuum and mop combo 2 in 1 robot vacuum cleaner with 2000pa suction wifi-connected and self-charging for pet hair carpet hard floors","B092J8SNQ6","iHomy","None",2000,90,NA,"2000;2000;2000;2000",NA,NA,NA,NA,"2600","70;90","2600;1937;1292;1937;3;3;18"
"586",575,"B09SQBXHCS","robot vacuum and mop combo 2 in 1 wifi-connected robot vacuum cleaner, 2000pa suction, self-charging robot vacuum cleaner,ideal for pet hair (black)","B092J8SNQ6","iHomy","None",2000,90,NA,"2000;2000;2000",NA,NA,NA,NA,"2600","70;90","2600;1937;1292;1937"
"587",1424,"B09N8N17YM","robot vacuum and mop combo 2 in 1 wifi-connected robot vacuum cleaner, 2000pa suction, self-charging robot vacuum cleaner,ideal for pet hair (black)","B092J8SNQ6","iHomy","None",2000,90,NA,"2000",NA,NA,NA,NA,NA,NA,""
"588",271,"B08M6273F5","iiooiius robot vacuum, 2000pa robotic vacuum cleaner, 110mins run time, automatic self-charging, quiet multiple cleaning modes, best for pet hair, hard floor and low pile carpet","B08M6273F5","IIooIIus","None",2000,110,"55","2000;2000;2000;2;001;2000;40","110;110","110;110",NA,NA,"4400;4400","110;110;110;110","4400;2000;4400"
"589",313,"B08S6TPC24","ilife v80 max mopping robot vacuum cleaner, robot vacuum and mop combo, wi-fi connected, works with alexa,2000pa max suction,750ml dustbin,self-charging, for pet hair, hard floors and low pile carpet.","v80max","ILIFE","B06Y56NDF4,B08K74WBJS,B08S6TPC24,B08LVJDLX8",2000,110,NA,"2000;2000;1400;700;2000;2000;1400;700;2000;1400;1400",NA,NA,NA,NA,NA,"2;1","12;1400;1;1400"
"590",2117,"B08K74WBJS","ilife v80 max robot vacuum cleaner, wi-fi connected, 2000pa max suction, works with alexa, 750ml dustbin, tangle-free suction port, self-charging, ideal for hard floor, pet hair and low pile carpet","v80max","ILIFE","B06Y56NDF4,B08K74WBJS,B08S6TPC24,B08LVJDLX8",2000,110,NA,"2000;2000;1400;700;2000;1400",NA,NA,NA,NA,NA,NA,"12;1400;1"
"591",2116,"B08JCDCH22","ilife a10 lidar robot vacuum, smart laser navigation and multiple-floor mapping, 2000pa strong suction, wi-fi connected, works with alexa, ideal for pet hair, hard floor and medium pile carpet.","a10","ILIFE","B08JCDCH22,B08S73M29W,B07313S199",2000,100,NA,"2000;2000;2000",NA,NA,NA,NA,NA,NA,"12;10;1;1;1"
