,asin,com,market_ids,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales,Brand,Firm,suction,isEligibleForSuperSaverShipping,Wok_1charge,year,pro_age
71,B01MQIGKMM,2017-07B01MQIGKMM,2017-07,None,14/11/2016 00:00,7354,99.99,4.333333333,White,74,279,279,1588,70383060,2876,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2017,5
72,B01MQIGKMM,2017-11B01MQIGKMM,2017-11,None,14/11/2016 00:00,300,90.49,3.954545455,White,74,279,279,1588,71404740,18231,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2017,5
73,B01MQIGKMM,2018-01B01MQIGKMM,2018-01,None,14/11/2016 00:00,5789,74.99,4.5,White,74,279,279,1588,72162000,3318,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2018,4
74,B01MQIGKMM,2018-02B01MQIGKMM,2018-02,None,14/11/2016 00:00,3348,97.49,3.933333333,White,74,279,279,1588,71880000,4717,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2018,4
75,B01MQIGKMM,2019-06B01MQIGKMM,2019-06,None,14/11/2016 00:00,4351,85.99,3.55,White,74,279,279,1588,73281660,4142,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2019,3
76,B01MQIGKMM,2017-10B01MQIGKMM,2017-10,None,14/11/2016 00:00,3920,99.99,3.95,White,74,279,279,1588,71327520,4389,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2017,5
77,B01MQIGKMM,2019-03B01MQIGKMM,2019-03,None,14/11/2016 00:00,3363,84.99,3.65,White,74,279,279,1588,73269680,4709,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2019,3
78,B01MQIGKMM,2019-05B01MQIGKMM,2019-05,None,14/11/2016 00:00,1579,89.98,3.5,White,74,279,279,1588,73383490,7483,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2019,3
79,B01MQIGKMM,2018-06B01MQIGKMM,2018-06,None,14/11/2016 00:00,3178,80,4.25,White,74,279,279,1588,72792000,4838,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2018,4
80,B01MQIGKMM,2018-03B01MQIGKMM,2018-03,None,14/11/2016 00:00,2721,89.89,3.966666667,White,74,279,279,1588,71922000,5577,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2018,4
