com,market_ids,asin,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales
2020-03B07X53V3V6,2020-03,B07X53V3V6,None,27/08/2019 00:00,2208,209.99,4.45,Black,325,325,72,2699,75975680,6407
2019-11B07X53V3V6,2019-11,B07X53V3V6,None,27/08/2019 00:00,690,319.99,4.09,Black,325,325,72,2699,74174170,12132
2020-01B07X53V3V6,2020-01,B07X53V3V6,None,27/08/2019 00:00,322,199.99,4.45,Black,325,325,72,2699,75550080,17613
2020-03B081T2LS87,2020-03,B081T2LS87,"B07D75MVX9,B081T2LS87",01/12/2020 00:00,245,189.99,4.333333333,White,325,325,72,2699,75975680,19775
2019-02B07KKFBBV4,2019-02,B07KKFBBV4,None,14/11/2018 00:00,75,224.99,3.625,Black,325,325,72,2699,73191810,31720
2019-11B07KKFBBV4,2019-11,B07KKFBBV4,None,14/11/2018 00:00,36,179,4.3,Black,325,325,72,2699,74174170,43409
2019-07B07P45SQKM,2019-07,B07P45SQKM,None,19/02/2019 00:00,307527,229.99,4.35,None,330,330,76,2700,73275670,1
2019-08B07P45SQKM,2019-08,B07P45SQKM,None,19/02/2019 00:00,144376,229.99,4.3,None,330,330,76,2700,73521260,1
2020-02B07P45SQKM,2020-02,B07P45SQKM,None,19/02/2019 00:00,311061,219.99,4.3,None,330,330,76,2700,75361600,1
2020-01B07P45SQKM,2020-01,B07P45SQKM,None,19/02/2019 00:00,94964,219.99,4.45,None,330,330,76,2700,75550080,259
2019-05B07P45SQKM,2019-05,B07P45SQKM,None,19/02/2019 00:00,65758,229.99,5,None,330,330,76,2700,73383490,493
2019-06B07P45SQKM,2019-06,B07P45SQKM,None,19/02/2019 00:00,27711,229.99,4.5,None,330,330,76,2700,73281660,1077
2019-09B07P45SQKM,2019-09,B07P45SQKM,None,19/02/2019 00:00,17693,186.99,4.5,None,330,330,76,2700,73754870,1554
2019-10B07P45SQKM,2019-10,B07P45SQKM,None,19/02/2019 00:00,10260,219.99,4.575,None,330,330,76,2700,74168180,2406
2019-11B07P45SQKM,2019-11,B07P45SQKM,None,19/02/2019 00:00,8103,219.99,4.725,None,330,330,76,2700,74174170,2803
2019-12B07MF6VLW4,2019-12,B07MF6VLW4,None,10/01/2019 00:00,813222,199.99,3.75,None,330,330,74,2722,74401790,1
2020-01B07MF6VLW4,2020-01,B07MF6VLW4,None,10/01/2019 00:00,1265205,169.99,3.721428571,None,330,330,74,2722,75550080,1
2020-02B07MF6VLW4,2020-02,B07MF6VLW4,None,10/01/2019 00:00,304887,149.99,3.635714286,None,330,330,74,2722,75361600,1
2020-03B07MF6VLW4,2020-03,B07MF6VLW4,None,10/01/2019 00:00,252224,179.99,3.5,None,330,330,74,2722,75975680,1
2019-06B07RRFZJV5,2019-06,B07RRFZJV5,None,25/04/2019 00:00,121870,229.99,5,Blue,325,323,70,2722,73281660,44
2019-08B07MF6VLW4,2019-08,B07MF6VLW4,None,10/01/2019 00:00,118223,299.98,4.05,None,330,330,74,2722,73521260,73
2019-05B07MF6VLW4,2019-05,B07MF6VLW4,None,10/01/2019 00:00,59968,254,4.16,None,330,330,74,2722,73383490,539
2019-12B07RQC1GHZ,2019-12,B07RQC1GHZ,"B07RQC1GHZ,B07L2YB8NW",10/05/2019 00:00,29645,279.99,4.833333333,R750,325,323,70,2722,74401790,1008
2019-10B07MF6VLW4,2019-10,B07MF6VLW4,None,10/01/2019 00:00,29226,199.99,3.85,None,330,330,74,2722,74168180,1023
2019-10B07RQC1GHZ,2019-10,B07RQC1GHZ,"B07RQC1GHZ,B07L2YB8NW",10/05/2019 00:00,24516,279.99,4.8,R750,325,323,70,2722,74168180,1190
2020-01B07MXWT2VS,2020-01,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,19763,145.98,4.14,Black,311,311,65,2722,75550080,1424
2019-09B07RQC1GHZ,2019-09,B07RQC1GHZ,"B07RQC1GHZ,B07L2YB8NW",10/05/2019 00:00,17640,299.9,4.95,R750,325,323,70,2722,73754870,1558
2020-02B07MXWT2VS,2020-02,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,15071,122.38,4.2,Black,311,311,65,2722,75361600,1763
2020-01B07RQC1GHZ,2020-01,B07RQC1GHZ,"B07RQC1GHZ,B07L2YB8NW",10/05/2019 00:00,14567,237.99,4.7,R750,325,323,70,2722,75550080,1808
2019-07B07RRFZJV5,2019-07,B07RRFZJV5,None,25/04/2019 00:00,11084,225.99,4.75,Blue,325,323,70,2722,73275670,2268
2020-03B07MXWT2VS,2020-03,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,9921,124.08,4.1,Black,311,311,65,2722,75975680,2475
2019-05B07MXWT2VS,2019-05,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,4547,0.1,4.4375,Black,311,311,65,2722,73383490,4030
2019-10B07RRFZJV5,2019-10,B07RRFZJV5,None,25/04/2019 00:00,4324,225.99,4.633333333,Blue,325,323,70,2722,74168180,4158
2019-12B07MXWT2VS,2019-12,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,3965,145.98,4.378571429,Black,311,311,65,2722,74401790,4364
2019-10B07MXWT2VS,2019-10,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,3461,116.19,4.2,Black,311,311,65,2722,74168180,4652
2019-08B07MXWT2VS,2019-08,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,3405,144.98,4.25,Black,311,311,65,2722,73521260,4685
2019-06B07MXWT2VS,2019-06,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,2395,139.98,4.461538462,Black,311,311,65,2722,73281660,6105
2019-11B07RQC1GHZ,2019-11,B07RQC1GHZ,"B07RQC1GHZ,B07L2YB8NW",10/05/2019 00:00,1247,279.99,4.9,R750,325,323,70,2722,74174170,8932
2019-09B07MXWT2VS,2019-09,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,1043,118.56,4.25,Black,311,311,65,2722,73754870,9822
2019-07B07MXWT2VS,2019-07,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,683,143.98,4.385714286,Black,311,311,65,2722,73275670,12211
2019-11B07MXWT2VS,2019-11,B07MXWT2VS,B07MXWT2VS,18/01/2019 00:00,321,122.38,4.4,Black,311,311,65,2722,74174170,17641
2019-11B07RRFZJV5,2019-11,B07RRFZJV5,None,25/04/2019 00:00,249,225.99,4.66,Blue,325,323,70,2722,74174170,19663
2019-12B07RRFZJV5,2019-12,B07RRFZJV5,None,25/04/2019 00:00,242,138.3,4.63,Blue,325,323,70,2722,74401790,19860
2019-09B07RRFZJV5,2019-09,B07RRFZJV5,None,25/04/2019 00:00,11,138.3,4.8,Blue,325,323,70,2722,73754870,57268
2019-12B07FZY36W7,2019-12,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,723280,151.86,3.8,White 900pa,495,361,170,2800,74401790,1
2020-01B07FZY36W7,2020-01,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,754514,194.95,3.733333333,White 900pa,495,361,170,2800,75550080,1
2020-02B07FZY36W7,2020-02,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,741749,189.99,3.766666667,White 900pa,495,361,170,2800,75361600,1
2019-04B07FZY36W7,2019-04,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,60828,99.99,4.1,White 900pa,495,361,170,2800,73389480,533
2019-05B07FZY36W7,2019-05,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,47320,109.99,4.033333333,White 900pa,495,361,170,2800,73383490,642
2019-07B07FZY36W7,2019-07,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,41766,109.99,4.15,White 900pa,495,361,170,2800,73275670,750
2019-06B07FZY36W7,2019-06,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,35486,99.99,4,White 900pa,495,361,170,2800,73281660,872
2019-02B07FZY36W7,2019-02,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,9380,109.99,3.93,White 900pa,495,361,170,2800,73191810,2585
2019-03B07FZY36W7,2019-03,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,6224,101.99,3.8,White 900pa,495,361,170,2800,73269680,3069
2018-11B07FZY36W7,2018-11,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,376,125.99,3.966666667,White 900pa,495,361,170,2800,73482000,16097
2018-12B07FZY36W7,2018-12,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,351,128.99,3.760869565,White 900pa,495,361,170,2800,73536000,16799
2019-01B07FZY36W7,2019-01,B07FZY36W7,B07FZY36W7,29/07/2018 00:00,143,125.99,3.9,White 900pa,495,361,170,2800,73335570,24888
2018-11B079N677J1,2018-11,B079N677J1,None,06/02/2018 00:00,42711,39.99,2.9,White-b,392.938,353.06,110.998,2857.63,73482000,731
2019-04B07NJS1XCJ,2019-04,B07NJS1XCJ,B07NJS1XCJ,19/03/2019 00:00,211522,169.99,5,Gray,401.32,345.44,210.82,2998,73389480,1
