asin,listed_date,isEligibleForSuperSaverShipping,Brand,Firm,market_ids,prices,ave_rating,title,variationCSV,suction,Wok_1charge,sales,itemWidth,itemHeight,itemWeight
B081T2LS87,01/12/2020 00:00,TRUE,30c,eufy,R20Q4,279.99,4.35,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,11791,325,72,2699
B081T2LS87,01/12/2020 00:00,TRUE,30c,eufy,R20Q1,267.49,4.333333333,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,19775,325,72,2699
B081T2LS87,01/12/2020 00:00,TRUE,30c,eufy,R20Q3,279.99,4.3,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,4764,325,72,2699
B081T2LS87,01/12/2020 00:00,TRUE,30c,eufy,R21Q1,245.99,4.455555556,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,6192,325,72,2699
B081T2LS87,01/12/2020 00:00,TRUE,30c,eufy,R21Q3,257.4925,4.442857143,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,4741,325,72,2699
B081T2LS87,01/12/2020 00:00,TRUE,30c,eufy,R22Q1,224.2757143,4.416666667,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,31248,325,72,2699
B085ZSG7XP,17/03/2020 00:00,FALSE,30c,eufy,R21Q3,205.99,4.75,"eufy [boostiq] robovac 30c, robot vacuum cleaner<U+4E28>robovac replacement kit",None,1500,100,97,325,72,2699
B085ZSG7XP,17/03/2020 00:00,FALSE,30c,eufy,R21Q1,189.99,5,"eufy [boostiq] robovac 30c, robot vacuum cleaner<U+4E28>robovac replacement kit",None,1500,100,103,325,72,2699
B085ZSG7XP,17/03/2020 00:00,FALSE,30c,eufy,R22Q1,235.99,4.65,"eufy [boostiq] robovac 30c, robot vacuum cleaner<U+4E28>robovac replacement kit",None,1500,100,1,325,72,2699
B07X53V3V6,27/08/2019 00:00,FALSE,30cmax,eufy,R20Q4,284.1212308,4.552,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging, cleans hard floors to medium-pile carpets",None,2000,100,33134,325,72,2699
